Accion,Fecha,Precio
YPF,2014-04-07,30.7
YPF,2014-04-04,30.81
YPF,2014-04-03,30.93
YPF,2014-04-02,31.26
YPF,2014-04-01,31.02
GGAL,2014-12-31,15.89
GGAL,2014-12-30,15.72
GGAL,2014-12-29,16.24
GGAL,2014-12-26,16.05
GGAL,2014-12-24,16.28
GGAL,2014-12-23,16.2
GGAL,2014-12-22,15.79
GGAL,2014-12-19,15.44
GGAL,2014-12-18,14.81
GGAL,2014-12-17,14.55
GGAL,2014-12-16,14.19
GGAL,2014-12-15,14.19
GGAL,2014-12-12,15.05
GGAL,2014-12-11,15.23
GGAL,2014-12-10,14.9
GGAL,2014-12-09,15.2
GGAL,2014-12-08,16.02
GGAL,2014-12-05,16.56
GGAL,2014-12-04,16.17
GGAL,2014-12-03,15.87
GGAL,2014-12-02,15.56
GGAL,2014-12-01,15.77
GGAL,2014-11-28,16.01
GGAL,2014-11-26,16.17
GGAL,2014-11-25,15.8
GGAL,2014-11-24,15.77
GGAL,2014-11-21,15.91
GGAL,2014-11-20,15.67
GGAL,2014-11-19,15.46
GGAL,2014-11-18,15.38
GGAL,2014-11-17,15.54
GGAL,2014-11-14,15.06
GGAL,2014-11-13,15.28
GGAL,2014-11-12,15.04
GGAL,2014-11-11,15.03
GGAL,2014-11-10,14.97
GGAL,2014-11-07,15.07
GGAL,2014-11-06,15.25
GGAL,2014-11-05,15.26
GGAL,2014-11-04,14.88
GGAL,2014-11-03,15.2
GGAL,2014-10-31,14.7
GGAL,2014-10-30,14.35
GGAL,2014-10-29,13.81
GGAL,2014-10-28,14.1
GGAL,2014-10-27,13.69
GGAL,2014-10-24,13.75
GGAL,2014-10-23,13.68
GGAL,2014-10-22,13.29
GGAL,2014-10-21,13.59
GGAL,2014-10-20,13.31
GGAL,2014-10-17,12.59
GGAL,2014-10-16,11.97
GGAL,2014-10-15,11.59
GGAL,2014-10-14,11.73
GGAL,2014-10-13,11.39
GGAL,2014-10-10,11.63
GGAL,2014-10-09,11.61
GGAL,2014-10-08,12
GGAL,2014-10-07,11.69
GGAL,2014-10-06,12.03
GGAL,2014-10-03,12.38
GGAL,2014-10-02,12.71
GGAL,2014-10-01,13.5
GGAL,2014-09-30,14.21
GGAL,2014-09-29,14.03
GGAL,2014-09-26,14.22
GGAL,2014-09-25,13.79
GGAL,2014-09-24,14.21
GGAL,2014-09-23,14.08
GGAL,2014-09-22,14.36
GGAL,2014-09-19,14.24
GGAL,2014-09-18,14.64
GGAL,2014-09-17,14.84
GGAL,2014-09-16,15.13
GGAL,2014-09-15,14.54
GGAL,2014-09-12,14.74
GGAL,2014-09-11,14.37
GGAL,2014-09-10,14.06
GGAL,2014-09-09,13.71
GGAL,2014-09-08,13.57
GGAL,2014-09-05,13.66
GGAL,2014-09-04,13.25
GGAL,2014-09-03,13.52
GGAL,2014-09-02,12.75
GGAL,2014-08-29,12.68
GGAL,2014-08-28,12.59
GGAL,2014-08-27,12.56
GGAL,2014-08-26,12.58
GGAL,2014-08-25,12.76
GGAL,2014-08-22,12.76
GGAL,2014-08-21,12.34
GGAL,2014-08-20,12.43
GGAL,2014-08-19,12.98
GGAL,2014-08-18,13.07
GGAL,2014-08-15,12.92
GGAL,2014-08-14,12.67
GGAL,2014-08-13,13.3
GGAL,2014-08-12,13.5
GGAL,2014-08-11,13.91
GGAL,2014-08-08,14.55
GGAL,2014-08-07,14.68
GGAL,2014-08-06,14.15
GGAL,2014-08-05,14.07
GGAL,2014-08-04,15.34
GGAL,2014-08-01,15.61
GGAL,2014-07-31,16.12
GGAL,2014-07-30,16.96
GGAL,2014-07-29,15.12
GGAL,2014-07-28,14.09
GGAL,2014-07-25,14.78
GGAL,2014-07-24,15.53
GGAL,2014-07-23,15.44
GGAL,2014-07-22,15.58
GGAL,2014-07-21,15.98
GGAL,2014-07-18,16.92
GGAL,2014-07-17,16.41
GGAL,2014-07-16,16.48
GGAL,2014-07-15,16.09
GGAL,2014-07-14,16.89
GGAL,2014-07-11,17.02
GGAL,2014-07-10,17.01
GGAL,2014-07-09,16.57
GGAL,2014-07-08,15.71
GGAL,2014-07-07,15.42
GGAL,2014-07-03,15.51
GGAL,2014-07-02,15.29
GGAL,2014-07-01,15.01
GGAL,2014-06-30,14.65
GGAL,2014-06-27,14.48
GGAL,2014-06-26,14.66
GGAL,2014-06-25,15.22
GGAL,2014-06-24,14.46
GGAL,2014-06-23,15.14
GGAL,2014-06-20,14.35
GGAL,2014-06-19,12.77
GGAL,2014-06-18,13.13
GGAL,2014-06-17,12.73
GGAL,2014-06-16,12.69
GGAL,2014-06-13,13.82
GGAL,2014-06-12,13.69
GGAL,2014-06-11,13.84
GGAL,2014-06-10,15.05
GGAL,2014-06-09,15.05
GGAL,2014-06-06,14.51
GGAL,2014-06-05,14.78
GGAL,2014-06-04,14.18
GGAL,2014-06-03,13.77
GGAL,2014-06-02,13.54
GGAL,2014-05-30,13.58
GGAL,2014-05-29,13.04
GGAL,2014-05-28,12.18
GGAL,2014-05-27,12.26
GGAL,2014-05-23,12.64
GGAL,2014-05-22,12.77
GGAL,2014-05-21,12.65
GGAL,2014-05-20,12.6
GGAL,2014-05-19,12.54
GGAL,2014-05-16,12.51
GGAL,2014-05-15,12.36
GGAL,2014-05-14,12.68
GGAL,2014-05-13,12.89
GGAL,2014-05-12,13.24
GGAL,2014-05-09,13.55
GGAL,2014-05-08,13.44
GGAL,2014-05-07,14
GGAL,2014-05-06,13.44
GGAL,2014-05-05,13.69
GGAL,2014-05-02,13.86
GGAL,2014-05-01,13.57
GGAL,2014-04-30,13.46
GGAL,2014-04-29,13.22
GGAL,2014-04-28,13.16
GGAL,2014-04-25,13.3
GGAL,2014-04-24,13.82
GGAL,2014-04-23,13.8
GGAL,2014-04-22,13.68
GGAL,2014-04-21,13.05
GGAL,2014-04-17,13.01
GGAL,2014-04-16,13.17
GGAL,2014-04-15,13.17
GGAL,2014-04-14,13.2
GGAL,2014-04-11,13.15
GGAL,2014-04-10,13.36
GGAL,2014-04-09,13.58
GGAL,2014-04-08,13.79
GGAL,2014-04-07,13.5
GGAL,2014-04-04,13.01
GGAL,2014-04-03,13.36
GGAL,2014-04-02,13.48
GGAL,2014-04-01,12.7
TS,2014-12-31,30.21
TS,2014-12-30,30.51
TS,2014-12-29,30.36
TS,2014-12-26,30.37
TS,2014-12-24,29.84
TS,2014-12-23,30.17
TS,2014-12-22,29.76
TS,2014-12-19,30.75
TS,2014-12-18,30.34
TS,2014-12-17,30.04
TS,2014-12-16,29.18
TS,2014-12-15,28.18
TS,2014-12-12,28.74
TS,2014-12-11,30.19
TS,2014-12-10,30.1
TS,2014-12-09,30.95
TS,2014-12-08,30.53
TS,2014-12-05,31.66
TS,2014-12-04,32.13
TS,2014-12-03,32.54
TS,2014-12-02,32.16
TS,2014-12-01,32.28
TS,2014-11-28,32.93
TS,2014-11-26,35.93
TS,2014-11-25,36
TS,2014-11-24,35.84
TS,2014-11-21,36.72
TS,2014-11-20,36.07
TS,2014-11-19,35.58
TS,2014-11-18,36.42
TS,2014-11-17,36.26
TS,2014-11-14,36.87
TS,2014-11-13,36.36
TS,2014-11-12,36.48
TS,2014-11-11,37.14
TS,2014-11-10,36.75
TS,2014-11-07,37.16
TS,2014-11-06,36.81
TS,2014-11-05,38.45
TS,2014-11-04,37.8
TS,2014-11-03,39.04
TS,2014-10-31,39.64
TS,2014-10-30,39.08
TS,2014-10-29,38.95
TS,2014-10-28,39.67
TS,2014-10-27,38.71
TS,2014-10-24,39.02
TS,2014-10-23,39.02
TS,2014-10-22,37.83
TS,2014-10-21,38.65
TS,2014-10-20,37.95
TS,2014-10-17,38.09
TS,2014-10-16,39
TS,2014-10-15,39.52
TS,2014-10-14,39.58
TS,2014-10-13,40.31
TS,2014-10-10,40.63
TS,2014-10-09,40.85
TS,2014-10-08,41.92
TS,2014-10-07,41.81
TS,2014-10-06,42.12
TS,2014-10-03,41.94
TS,2014-10-02,43.32
TS,2014-10-01,44.01
TS,2014-09-30,45.55
TS,2014-09-29,45.54
TS,2014-09-26,45.9
TS,2014-09-25,45.34
TS,2014-09-24,46.12
TS,2014-09-23,45.57
TS,2014-09-22,46.12
TS,2014-09-19,46.55
TS,2014-09-18,46.95
TS,2014-09-17,46.55
TS,2014-09-16,46.26
TS,2014-09-15,45.89
TS,2014-09-12,45.83
TS,2014-09-11,45.7
TS,2014-09-10,44.63
TS,2014-09-09,44.6
TS,2014-09-08,44.52
TS,2014-09-05,45.23
TS,2014-09-04,44.99
TS,2014-09-03,45.12
TS,2014-09-02,44.8
TS,2014-08-29,44.3
TS,2014-08-28,43.9
TS,2014-08-27,44.71
TS,2014-08-26,44.28
TS,2014-08-25,44.14
TS,2014-08-22,43.4
TS,2014-08-21,43.6
TS,2014-08-20,43.24
TS,2014-08-19,43.22
TS,2014-08-18,43.43
TS,2014-08-15,42.99
TS,2014-08-14,42.82
TS,2014-08-13,43.18
TS,2014-08-12,42.96
TS,2014-08-11,43.14
TS,2014-08-08,43.36
TS,2014-08-07,42.03
TS,2014-08-06,43.01
TS,2014-08-05,43.03
TS,2014-08-04,43.46
TS,2014-08-01,42.93
TS,2014-07-31,42.97
TS,2014-07-30,44.83
TS,2014-07-29,44.63
TS,2014-07-28,44.5
TS,2014-07-25,44.8
